user_id,tweet_id,tweet_text,retweet_count,favorite_count,followers_count,friends_count,verified,label,time_delay (min),neg_sent,pos_sent,neu_sent,comp_sent
16887175,580387098039046145,"Reports of ""moving body"" amidst #Germanwings wreckage #A320 http://t.co/GLMUsaPbGo http://t.co/WS2M4YCly3",38,15,337960,6384,1,1,1.2833,0.0,0.0,1.0,0.0
328541805,580320242020290560,BREAKING:148passengers were on board #GermanWings Airbus A320 which has crashed in D southern French Alps.May اللَّهُ protect them.AMEEN♥☀♥,43,15,52815,293,0,1,1.5000,0.0,0.14,0.86,0.3818
7309052,580699430690656256,"BREAKING: #Germanwings crash victims include 72 German citizens, 35 Spaniards, 2 Americans, per CEO - via @AP",31,5,893549,2312,1,1,4.1333,0.278,0.0,0.722,-0.6124
15513604,580340476949086208,BREAKING: 148 feared dead in crashed #Germanwings flight http://t.co/bnEGQsxBFL,167,32,418641,1859,1,1,3.5167,0.517,0.0,0.483,-0.8176
93735135,580320893668364288,Terrible news... Airbus A320 from Barcelona to Dusseldorf has crashed in France (Germanwings Flight 9525). http://t.co/C3zpWZ5bIF,26,1,11062,233,0,1,3.3667,0.171,0.0,0.829,-0.4767
92771309,580321350750990336,Hashtags #4U9525 #GermanWings #A320 all useful for latest info on plane crash in southern France.,91,20,20839,1354,1,1,231.6000,0.145,0.156,0.699,0.0516
124476322,580350426278719488,We must confirm to our deepest regret that Germanwings Flight 4U 9525 from Barcelona to Düsseldorf has suffered an accident over the 1/5,1242,294,147187,85,1,1,0.3167,0.313,0.0,0.687,-0.8442
5943072,580371845997682688,"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.",27,9,7043,347,0,1,2.9667,0.0,0.0,1.0,0.0
64643056,580322066374721537,German Wings Airbus A320 #4U9525 lost from @Flightradar24 at 6800 ft at 09.39 UTC time UPDATES http://t.co/XTMaa9mAV2 http://t.co/VwZmbhcUsn,235,39,891877,482,1,1,12.1167,0.119,0.0,0.881,-0.3182
2280470022,581387966125248512,NEWS #Germanwings co-pilot Andreas Lubitz had serious depressive episode (Bild newspaper) #4U9525 http://t.co/BV21WXdxdb,28,4,61820,387,0,1,2.2500,0.262,0.0,0.738,-0.4404
827765124,580323456996282369,"A @germanwings A322 #4U9525, BCN-DUS,  with at least 143 passengers has crashed today at 9.39 UTC http://t.co/L7Wtodurt7",46,10,5464,748,0,1,1154.5167,0.0,0.219,0.781,0.6369
255187660,581107798932631552,schoolmates of co-pilot who crashed #4U9525 tell german reporters he took 6-months break from flight training in 2009 due to burnout-syndrom,113,27,4019,1148,1,1,23.3500,0.0,0.0,1.0,0.0
22993014,580319856496644096,#BREAKING: There are reports that a Germanwings Airbus A320 has crashed in the French Alps. More to come. #9News http://t.co/PfEiviM9Po,119,21,179932,1162,1,1,0.8167,0.0,0.0,1.0,0.0
2566535282,581066887200694272,"Andreas Lubitz, co-pilot who brought down #Germanwings flight intentionally, recently commended by the FAA: http://t.co/8dAYQ8vAKF",29,5,36322,953,0,1,NaT,0.0,0.172,0.828,0.4404
2937797170,580885455257882624,» http://t.co/VPPJAceoql plane crash #planecrash Report: Pilot locked out of cockpit before Germanwings crash 27 http://t.co/8IymLEfX69,32,1,21540,21507,0,1,NaT,0.293,0.0,0.707,-0.6597
